productSlug,colorSlug,colorName,sortOrder,hex
art001,banana,Банан,0,#FFE135
art001,barbie,Барби,1,#E0218A
art001,cappuccino,Капучино,2,#C9A27E
art001,cocoa,Какао,3,#4B3621
art001,fir,Пихта,4,#0B3D2E
art001,fuchsia,Фуксия,5,#FF00FF
art001,fume,Фумэ,6,#9B9793
art001,lilac,Сирень,7,#C8A2C8
art001,mo,Мускатный орех,8,#7A5C3E
art001,orange,Апельсин,9,#FFA500
art001,tiffany,Тиффани,10,#0ABAB5
art009,fuchsia,Фуксия,0,#FF00FF
art009,orange,Апельсин,1,#FFA500
art009,tiffany,Тиффани,2,#0ABAB5
art009,violet,Фиалка,3,#8F00FF
art010,fuchsia,Фуксия,0,#FF00FF
art010,khaki,Хаки,1,#C3B091
art010,lightblue,Голубой,2,#87CEEB
art010,orange,Апельсин,3,#FFA500
art010,tiffany,Тиффани,4,#0ABAB5
art010,violet,Фиалка,5,#8F00FF
art011,fuchsia,Фуксия,0,#FF00FF
art011,orange,Апельсин,1,#FFA500
art011,tiffany,Тиффани,2,#0ABAB5
art011,violet,Фиалка,3,#8F00FF
art014,white,Белый,0,#FFFFFF
art014,lightblue,Голубой,1,#87CEEB
art014,pink,Розовый,2,#FFC0CB
art015,white,Белый,0,#FFFFFF
art015,lightblue,Голубой,1,#87CEEB
art015,pink,Розовый,2,#FFC0CB
art016,white,Белый,0,#FFFFFF
art016,lightblue,Голубой,1,#87CEEB
art016,pink,Розовый,2,#FFC0CB
art017,barbie,Барби,0,#E0218A
art017,fir,Пихта,1,#0B3D2E
art017,fume,Фумэ,2,#9B9793
art017,orange,Апельсин,3,#FFA500
art017,tiffany,Тиффани,4,#0ABAB5
art018,melon,Дыня,0,#FDBCB4
art018,fuchsia,Фуксия,1,#FF00FF
art018,latte,Лате,2,#D2B48C
art018,lightblue,Голубой,3,#87CEEB
art018,mint,Мята,4,#98FF98
art018,tiffany,Тиффани,5,#0ABAB5
art018,yellow,Желтый,6,#FFFF00
art019,blue,Синий,0,#0000FF
art019,melon,Дыня,1,#FDBCB4
art019,latte,Латте,2,#D2B48C
art019,lightblue,Голубой,3,#87CEEB
art019,mint,Мята,4,#98FF98
art019,gray,Серый,5,#808080
art020,fuchsia,Фуксия,0,#FF00FF
art020,tiffany,Тиффани,1,#0ABAB5
art021,white,Белый,0,#FFFFFF
bomber,barbie,Барби,0,#E0218A
bomber,cocoa,Какао,1,#4B3621
bomber,fir,Пихта,2,#0B3D2E
bomber,fume,Фумэ,3,#9B9793
bomber,mo,Мускатный орех,4,#7A5C3E
bomber,tiffany,Тиффани,5,#0ABAB5
hat,khaki,Хаки,0,#C3B091
hat,mo,Мускатный орех,1,#7A5C3E
hat,tiffany,Тиффани,2,#0ABAB5
jumpsuit,beige,Бежевый,0,#F5F5DC
jumpsuit,white,Белый,1,#FFFFFF
jumpsuit,lightblue,Голубой,2,#87CEEB
jumpsuit,graphite,Графит,3,#3A3A3A
jumpsuit,blue,Синий,4,#0000FF
jumpsuit,pink,Розовый,5,#FFC0CB
jumpsuit,tiffany,Тиффани,6,#0ABAB5
sweatshirt,barbie,Барби,1,#E0218A
sweatshirt,lilac,Сирень,2,#C8A2C8
sweatshirt,mo,Мускатный орех,4,#7A5C3E
